Epoch,Loss,Accuracy
1,0.6696971759753872,0.7794067507671326
2,0.4513948153471971,0.8288441868394135
3,0.4393783878932583,0.8411183088987385
4,0.43483028239280014,0.8383907262188885
5,0.4345779485385795,0.8366859870439822
6,0.4312069937612187,0.8407773610637572
7,0.4307106750443491,0.8421411524036823
8,0.4316291555106904,0.8407773610637572
9,0.42929391026689945,0.8438458915785885
10,0.4321034400689899,0.8387316740538697
11,0.4295479815327548,0.8445277872485509
12,0.4274026313323516,0.8394135697238323
13,0.42627310707906063,0.8445277872485509
14,0.42837999790317566,0.8441868394135698
15,0.42803724170584667,0.8424821002386634
16,0.42676800873766896,0.845891578588476
17,0.42518356232880083,0.8452096829185135
18,0.42807807392439784,0.8421411524036823
19,0.4266741096257701,0.8448687350835322
20,0.4287052768950363,0.8411183088987385
1,0.6685015840149153,0.7777020115922264
2,0.4610518889849071,0.830889873849301
3,0.45452110964691844,0.8336174565291511
4,0.44684230083040194,0.8380497783839073
5,0.44242981314516866,0.8383907262188885
6,0.4413952289756922,0.841800204568701
7,0.43803864547794197,0.8383907262188885
8,0.4370000060918264,0.8387316740538697
9,0.4385633674681065,0.8356631435390385
10,0.438291275420979,0.8414592567337198
11,0.436638393047835,0.8411183088987385
12,0.44026747501388247,0.8421411524036823
13,0.43217894353132547,0.847255369928401
14,0.435367107063664,0.843163995908626
15,0.43713966589147957,0.8452096829185135
16,0.43694828250888385,0.8428230480736447
17,0.4338644909657515,0.8400954653937948
18,0.4338127067023644,0.8448687350835322
19,0.43400060173607996,0.8414592567337198
20,0.4350872350798871,0.8407773610637572
1,1.0620045683162838,0.5291510398908967
2,0.4979496080945305,0.8179338561200137
3,0.4816737352501115,0.832253665189226
4,0.47463443451343523,0.8295260825093761
5,0.4767782917221455,0.8288441868394135
6,0.47305594904915366,0.830889873849301
7,0.4688608246987849,0.8295260825093761
8,0.4664363642977319,0.8319127173542448
9,0.46514924898098403,0.8281622911694511
10,0.46419053183321735,0.8336174565291511
11,0.46425925501572407,0.8360040913740198
12,0.46399858424759466,0.8339584043641323
13,0.4653653633567078,0.8353221957040573
14,0.466188503148595,0.8342993521991136
15,0.46819794447784574,0.8353221957040573
16,0.4595070730703014,0.8366859870439822
17,0.46620050019070514,0.8332765086941698
18,0.46766137493602195,0.8305489260143198
19,0.4619906999479104,0.8370269348789635
20,0.46305500130695243,0.8315717695192636
1,0.9287362155595656,0.6825775656324582
2,0.4775887437639812,0.8223661779747699
3,0.4490469800117192,0.841800204568701
4,0.4476419189577161,0.834981247869076
5,0.44166877937045596,0.8339584043641323
6,0.43730726302180667,0.8397545175588135
7,0.4336533737043411,0.8445277872485509
8,0.4338680951364854,0.8448687350835322
9,0.43546115159683574,0.8370269348789635
10,0.43526694232180707,0.8366859870439822
11,0.43239063819876067,0.8360040913740198
12,0.431336238096283,0.8479372655983635
13,0.4273058030763219,0.8452096829185135
14,0.4288145942067962,0.8441868394135698
15,0.4265609009606091,0.8424821002386634
16,0.4279833377992745,0.8400954653937948
17,0.4260972159671125,0.8414592567337198
18,0.4268508684429909,0.8424821002386634
19,0.42587941970220206,0.8448687350835322
20,0.42538122185390026,0.840436413228776
1,0.9887515369776041,0.6576883736788272
2,0.47691679465086884,0.8250937606546198
3,0.4564172072959076,0.8315717695192636
4,0.45042367523394466,0.8353221957040573
5,0.4468123107599879,0.8435049437436072
6,0.44781402747683097,0.839072621888851
7,0.43922159422736423,0.840436413228776
8,0.44513854527692925,0.8435049437436072
9,0.44005336503231846,0.8411183088987385
10,0.4327450443352606,0.8414592567337198
11,0.4347184229879667,0.8445277872485509
12,0.4348094015170436,0.8411183088987385
13,0.43224009112961415,0.8448687350835322
14,0.4324432041990119,0.8411183088987385
15,0.4314679114196921,0.843163995908626
16,0.43131083621050653,0.8438458915785885
17,0.430084923402928,0.8421411524036823
18,0.4312542928411332,0.8424821002386634
19,0.42936150252341493,0.8397545175588135
20,0.42912923370637546,0.8438458915785885
1,1.3856863742227485,0.2642345721104671
2,1.349993220620947,0.32526423457211046
3,0.8841857329046527,0.6812137742925333
4,0.5782607556547763,0.8172519604500511
5,0.47772054210244247,0.8353221957040573
6,0.4700971663638345,0.8397545175588135
7,0.4620423896642744,0.8380497783839073
8,0.46189406294054314,0.8353221957040573
9,0.4535930123201743,0.8445277872485509
10,0.4554455616278653,0.8325946130242073
11,0.4520061085939895,0.840436413228776
12,0.4521526094288538,0.8373678827139448
13,0.4471676133971876,0.839072621888851
14,0.4510583717190555,0.8373678827139448
15,0.4460745753026277,0.8366859870439822
16,0.4433307295409214,0.8407773610637572
17,0.44331949163308293,0.8373678827139448
18,0.44210899661130315,0.8360040913740198
19,0.442584467374177,0.8397545175588135
20,0.43994267727129294,0.8455506307534947
1,0.8332866714537611,0.7466757586089329
2,0.4765027552954865,0.8254347084896011
3,0.4485507655420118,0.8319127173542448
4,0.4373208884806447,0.8325946130242073
5,0.4389090750577926,0.8394135697238323
6,0.431560479781498,0.8441868394135698
7,0.4346209706410263,0.8421411524036823
8,0.4293214126115051,0.8455506307534947
9,0.42806659539303515,0.8383907262188885
10,0.4302129545717405,0.8424821002386634
11,0.4302008762127541,0.843163995908626
12,0.42781686441934114,0.8424821002386634
13,0.42803967297788453,0.8438458915785885
14,0.42625813183374384,0.8421411524036823
