Epoch,Loss,Accuracy
1,1.389536371175803,0.24616433685646097
2,1.3891588773412018,0.2550289805659734
3,1.3879069565426072,0.2492328673712922
4,1.3886691116449412,0.24548244118649848
5,1.3879841467320533,0.2574156154108421
6,1.388183697839666,0.24445959768155473
7,1.3883036119394079,0.26014319809069214
8,1.388486951802966,0.2458233890214797
9,1.388005713818222,0.24309580634162972
10,1.387897398786418,0.25468803273099216
11,1.387865800968096,0.2536651892260484
12,1.3872584597551494,0.24616433685646097
13,1.3880774075367976,0.2485509717013297
14,1.387991073348601,0.2512785543811797
15,1.3866686799848928,0.2594613024207296
16,1.3880292190612886,0.23116263211728605
17,1.3875897019298826,0.2563927719058984
18,1.3878787882775931,0.24821002386634844
19,1.387898903514109,0.24173201500170474
20,1.387182004289988,0.24957381520627345
