Epoch,Loss,Accuracy
1,0.9096916867855097,0.6600750085236958
2,0.47173739071748705,0.8216842823048074
3,0.44964116486599126,0.8285032390044323
4,0.4408448015184399,0.8387316740538697
5,0.43303281721140474,0.839072621888851
6,0.4385788465344861,0.8397545175588135
7,0.4328300939168574,0.8428230480736447
8,0.4336310661808444,0.8411183088987385
9,0.4305667397799526,0.8421411524036823
10,0.42971802875272574,0.8438458915785885
11,0.42783108730652797,0.8394135697238323
12,0.42853822233203,0.8380497783839073
13,0.4283456321243048,0.8438458915785885
14,0.4257750210123301,0.8400954653937948
15,0.42661892459116574,0.8424821002386634
16,0.42571618894932417,0.8435049437436072
17,0.42427097588645446,0.8394135697238323
18,0.4234370241139149,0.8482782134333448
19,0.4209357557587765,0.8424821002386634
20,0.4224893956782059,0.8441868394135698
21,0.418852789413236,0.8424821002386634
22,0.4228626879035634,0.8394135697238323
23,0.4214686101465716,0.8438458915785885
24,0.423488462490512,0.8414592567337198
25,0.42224065477058337,0.8445277872485509
26,0.42231364074511474,0.8428230480736447
27,0.41906302367415477,0.840436413228776
28,0.41924326131968137,0.841800204568701
29,0.418583754236701,0.8445277872485509
30,0.41766300791873895,0.841800204568701
31,0.4197854625941989,0.8455506307534947
32,0.4162025538267123,0.8441868394135698
33,0.41760544630673774,0.839072621888851
34,0.4162360431948417,0.8469144220934197
35,0.4212294994014199,0.840436413228776
36,0.41826710635094444,0.8438458915785885
37,0.4170526042193215,0.8428230480736447
38,0.41768105787742965,0.8411183088987385
39,0.4165423078328483,0.840436413228776
40,0.41857983186578096,0.8448687350835322
41,0.4166659144484627,0.8479372655983635
42,0.41478052642355184,0.845891578588476
43,0.41769898812131917,0.8441868394135698
44,0.41391745676085523,0.8414592567337198
45,0.4171317482219188,0.8435049437436072
46,0.4159716685076155,0.8445277872485509
47,0.41309593439240616,0.8479372655983635
48,0.4157552217732527,0.8445277872485509
49,0.4122870604379342,0.845891578588476
50,0.41551860029425913,0.8424821002386634
