Epoch,Loss,Accuracy
1,0.46410357854671636,0.8310626702997275
2,0.4420657325992792,0.8310626702997275
3,0.4344627846651571,0.8446866485013624
4,0.4497980682093051,0.8474114441416893
5,0.4526989199322641,0.8528610354223434
6,0.4609525380732253,0.8419618528610354
7,0.461300293942888,0.8365122615803815
8,0.44324716629221916,0.8283378746594006
9,0.43447542629060043,0.8528610354223434
10,0.43693265546245214,0.8501362397820164
11,0.43526956236005154,0.8392370572207084
12,0.45531028870503326,0.8365122615803815
13,0.43466514543876333,0.8419618528610354
14,0.4460750452422966,0.8419618528610354
15,0.43859751737734926,0.8337874659400545
16,0.48034506565218726,0.8283378746594006
17,0.4383881164344195,0.8501362397820164
18,0.45479387150473427,0.8501362397820164
19,0.44419085191770863,0.8419618528610354
20,0.43714084539166587,0.8528610354223434
